,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM1Conv,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
78,Southampton,Newcastle,1693,1500,2,2,D,5,7,7,6,8,10,L,0,2,5,11,12,3,8,1,2,0,0,1.91,3.6,4.5,11,4,8,L,0
79,Leicester,West Brom,1802,1624,1,1,D,9,6,12,8,5,9,D,3,3,1,13,6,4,1,2,2,0,0,2.05,3.4,4.2,20,18,8,D,3
80,West Ham,Brighton,1804,1696,0,3,A,8,6,14,10,8,8,D,3,2,5,5,13,10,3,1,0,0,0,1.83,3.5,5.25,7,18,9,D,3
81,Chelsea,Watford,1885,1600,4,2,H,13,13,8,13,13,15,L,0,8,5,13,16,6,6,2,3,0,0,1.36,5.25,10,6,18,9,L,0
82,Huddersfield,Man United,1600,1600,2,1,H,5,21,9,2,9,20,L,0,3,3,10,12,4,7,4,2,0,0,11,5,1.36,18,3,9,L,0
83,Man City,Burnley,2013,1711,3,0,H,29,8,4,6,22,13,W,5,10,0,10,6,4,5,2,3,0,0,1.11,12,26,18,18,9,W,5
84,Newcastle,Crystal Palace,1500,1690,1,0,H,9,2,8,18,11,3,D,3,3,0,12,14,3,5,4,2,0,0,2,3.5,4.2,4,18,9,D,3
85,Southampton,West Brom,1693,1624,1,0,H,7,7,9,9,9,10,D,3,6,2,10,8,8,3,0,1,0,0,1.85,3.39,5.25,11,18,9,D,3
86,Stoke,Bournemouth,1600,1600,1,2,A,9,4,18,12,8,4,L,0,2,3,17,10,8,3,0,1,0,0,2.14,3.5,3.6,18,18,9,L,0
87,Swansea,Leicester,1600,1802,1,2,A,5,10,8,13,8,6,W,5,4,6,6,9,7,6,0,1,0,0,2.79,3.25,2.75,18,20,9,W,5
88,Everton,Arsenal,1759,1830,2,5,A,5,12,13,10,8,13,D,3,3,14,14,14,0,7,1,1,1,0,3.79,3.6,2.04,15,1,9,D,3
89,Tottenham,Liverpool,1813,1910,4,1,H,15,13,5,12,17,13,W,5,6,7,2,8,3,5,0,1,0,0,2.25,3.5,3.39,9,2,9,W,5
90,Arsenal,Swansea,1830,1600,2,1,H,17,6,12,10,16,8,W,5,5,2,9,9,5,2,0,0,0,0,1.25,7,12,1,18,10,W,5
91,Bournemouth,Chelsea,1600,1885,0,1,A,6,17,13,10,7,16,W,5,1,5,5,5,5,5,2,0,0,0,6,4.2,1.61,18,6,10,W,5
92,Crystal Palace,West Ham,1690,1804,2,2,D,2,8,19,17,3,8,L,0,9,2,18,15,11,2,1,2,0,0,2.39,3.29,3.29,18,7,10,L,0
93,Liverpool,Huddersfield,1910,1600,3,0,H,14,7,16,10,13,12,L,0,8,0,10,8,9,2,0,1,0,0,1.25,6.75,13,2,18,10,L,0
94,Man United,Tottenham,1600,1813,1,0,H,22,19,4,6,20,20,L,0,3,4,12,14,6,3,1,0,0,0,2.14,3.39,3.79,3,9,10,L,0
95,Watford,Stoke,1600,1600,0,1,A,15,10,17,20,15,8,L,0,0,2,10,9,8,1,4,4,0,0,2.04,3.6,3.79,18,18,10,L,0
